"TEAM","RECORD","PF","PA","OVER","OFF","PASS","PBLK","RECV","RUN","RBLK","DEF","RDEF","TACK","PRSH","COV"
"Air Force","10-3",457,341,90.5,85.4,63.4,75.6,90.8,52.7,89.6,84.1,91.4,92.9,60.1,72.2
"Akron","5-7",329,403,76.4,70.6,56.9,75.9,68.9,67,73.3,73.1,74.8,74.8,54,89.7
"Alabama","14-1",582,195,95.2,85.2,71.5,85,69.8,78.5,87.6,96.7,98.5,93.2,91.6,93.3
"Appalachian State","10-3",380,232,87.2,79.3,77.2,82.9,69.6,65.2,80.2,84,89.7,76.1,61.7,91.8
"Arizona","3-9",297,460,69.6,61.9,56.1,72.6,60.6,60.6,75.9,79.9,61.4,61.4,75.7,75.7
"Arizona State","5-7",400,478,75.7,72.6,61.3,84,69.3,74.9,72.7,68.2,65.8,63.4,63.4,63.4
"Arkansas","7-6",394,404,90.6,88.6,75.5,64.9,90.6,69.1,87.5,80.3,77.3,70.9,78.7,78.7
"Arkansas State","8-5",355,279,82.1,71.5,66.3,82.9,66.3,70.7,91,77,76.6,76.6,88.8,88.8
"Army","8-5",389,258,76.1,69.1,47.4,49.7,42.9,83.9,84.2,76.2,71.5,65.7,89.5,89.5
"Auburn","8-5",406,222,91.4,84.1,71.5,86.2,68.5,73,86.6,90.2,90.1,77.9,75.7,89.5
"Ball State","4-8",324,361,72.2,68.9,63.6,76.8,61.7,69.2,71.3,74.8,64,59.5,70.5,70.5
"Baylor","7-6",450,377,79,71.5,62.1,82.3,65.5,74.5,84,81.1,52.9,67.7,89.5,89.5
"Boise State","10-3",439,303,91,88.2,82.9,91.3,83.3,74.9,88.7,74.2,80.7,63.9,92.3,92.3
"Boston College","7-6",265,325,79,64.8,56.8,76,56.8,70.3,91,92.7,93.7,73.5,87.2,87.2
"Bowling Green","4-8",298,460,74.6,67.5,51.1,62.5,60.2,73.8,80.6,84.6,83.8,63.3,73.2,73.2
"Buffalo","2-10",198,388,69.2,68.5,60,74.6,61.5,59.9,67.8,66.3,81.6,67.2,63.8,63.8
"BYU","9-4",384,254,86.2,75.2,64.4,78.6,64.4,76.6,78.4,90.1,90,61.8,66.9,90.1
"California","5-7",445,511,74.6,77.2,70.8,88.7,70.3,72.7,73.3,60.3,55.4,63.2,63.8,63.8
"Central Michigan","6-7",342,394,81.2,74.9,75.8,73.2,65.5,68,83.3,89,89,66.1,74.5,74.5
"Charlotte","4-8",302,415,68.6,50.1,48.4,82.8,55.9,63.3,80.7,71.5,60.7,60.7,73.8,73.8
"Cincinnati","4-8",232,323,80.1,66.5,45.4,87.5,65,69.1,91,93,93.5,60.7,89.9,89.9
"Clemson","14-1",588,270,92,89,71.1,82.7,72.3,75.6,92,73.6,79.3,91.7,75.2,79.3
"Colorado","10-4",435,304,86.8,76.2,75.3,66.8,65,81,91.7,86,68,93.1,74,75.7
"Colorado State","7-6",459,395,83.5,83.8,78.8,87.2,66.1,73.9,73.9,75.9,64.8,67.6,69.5,73.9
"Connecticut","3-9",178,337,76.6,61.9,51.9,80.1,56,71.8,89.9,86.6,60.3,81.5,65.3,71.8
"Duke","4-8",280,338,70,64.8,65.4,61.1,59.7,75.7,80.6,59.6,63.5,65.2,63.7,75.7
"East Carolina","3-9",324,433,74.1,71.2,78.2,63.5,68.4,72.4,80.7,70.1,56.5,62.6,61,72.4
"Eastern Michigan","7-6",385,388,82.7,75.3,67.7,73.8,62.2,66.3,84.4,69.3,69.3,77.7,69.5,66.3
"Florida","9-4",311,218,86.9,73.4,55.8,69.3,66.7,81.2,91.1,83.1,78.8,91.2,81.2,81.2
"Florida Atlantic","3-9",317,477,77.9,68.1,58.5,59.9,59.9,73.4,82.4,76.6,66.8,89.1,66.4,73.4
"Florida International","4-8",288,418,72.6,68.9,62.5,66.9,65.6,69.5,71.6,58.1,47.7,76.5,69.5,69.5
"Florida State","10-3",456,325,88.5,82,66.9,77,70.7,88.8,87.5,84.7,86.3,83.2,87.5,88.8
"Fresno State","1-11",212,371,67.5,64.3,65.7,80.9,60.1,67.1,61.3,61.5,56.1,81.5,67.1,67.1
"Georgia","8-5",319,312,90.7,80.6,62.8,77.2,66.8,82.7,91.5,90.4,92.5,85.7,82.7,82.7
"Georgia Southern","5-7",319,318,75.2,67.3,53.2,70.3,62.7,71.7,76.3,59.3,57.8,77.1,71.7,71.7
"Georgia State","3-9",239,319,72.1,61.5,63.5,69,62.5,64.4,84.4,85.4,62.5,62.9,62.8,64.4
"Georgia Tech","9-4",367,318,82.1,72.7,67.9,77.4,48.7,78.1,81.5,78.1,68.2,68.2,78.1,77.4
"Hawaii","7-7",396,522,77,77.7,78.6,73.9,69.1,83,65,69.7,60,61.7,65,73.9
"Houston","9-4",466,305,82.1,72.8,76.7,68.1,58.7,88.7,88.7,90.3,54.1,62.9,58.7,68.1
"Idaho","9-4",400,407,81.1,74.9,81.7,69.5,59,79.4,77.4,77.4,51.1,63.7,59,69.5
"Illinois","3-9",236,383,69.2,67.9,49.9,65.1,65.5,73,66.5,65.8,57.3,68.4,66.5,65.5
"Indiana","6-7",335,354,82.3,76.4,62.3,78.9,61.9,77.9,84.6,86.9,66.5,79.5,77.9,78.9
"Iowa","8-5",324,245,90.1,81.2,65.5,79.6,59.4,89,90.2,90,72.3,85.7,71,79.6
"Iowa State","3-9",332,376,79.7,74.4,75.4,63.6,67.8,73.3,59.8,59.8,58,62.1,59.8,63.6
"Kansas","2-10",243,448,65.7,56.4,46.7,55.5,53.5,53.5,53.5,72.7,64.1,74.2,53.5,55.5
"Kansas State","9-4",419,290,91.2,81.6,61,86.7,67.8,84.8,84.8,92.3,85,86.2,80.3,86.7
"Kent State","3-9",247,344,75.2,58.6,42.8,55.5,60.3,66.5,90.5,91.5,65.3,89,66.5,55.5
"Kentucky","7-6",390,407,77,79.9,47.5,67.3,67.3,84.1,63.7,63.7,58,68.1,67.3,67.3
"Louisiana","6-7",307,329,75.1,69.8,58.4,66.5,62.2,75.4,78.3,72.8,56.1,74,62.2,66.5
"Louisiana Tech","9-5",620,470,77.3,77.3,66.8,75.7,71.8,72.4,66,73.2,76.4,62.8,57.8,75.2
"Louisiana-Monroe","4-8",280,469,66.4,67.5,58.9,64,56.7,74.2,58.9,71.9,57.6,55,55,63.1
"Louisville","9-4",553,309,87.2,75.8,73.4,68.1,65.2,80.9,91.6,92.6,70.2,90.9,70.2,70.7
"LSU","8-4",340,189,92.5,86.3,60.2,80.4,83,82.1,92.4,90.7,75.2,91.9,75.2,75.2
"Marshall","3-9",317,423,74.7,71.2,64.6,79.2,69.5,69.9,74.3,77.4,68,69.3,68,68
"Maryland","6-7",335,384,76.3,70.4,48.6,72.7,60.9,76.5,77,76.8,66.3,71.1,66.3,70.2
"Massachusetts","2-10",280,426,77,73.8,69.5,71,74.9,75.4,65.5,75.6,64.2,75.1,64.2,75.1
"Memphis","8-5",505,375,84.8,75.2,81.8,74.2,65.5,74,87.1,86.5,60.3,92,60.3,86.5
"Miami (FL)","9-4",446,241,90.4,84.7,77.4,80.7,71.7,85.7,85.7,82.2,68.3,89.5,68.3,81.3
"Miami (OH)","6-7",297,309,75.7,67.9,67.4,66,64.1,81.1,81.1,77.8,65.3,85.4,65.3,77.8
"Michigan","10-3",524,183,94.9,87,70.6,79.5,74.3,81.1,95,93.9,90.5,92.6,90.5,91.7
"Michigan State","3-9",289,333,76.9,74.1,55.9,76.8,60,78.6,73.4,73.4,64.4,72.2,64.4,73.4
"Middle Tennessee","8-5",516,465,86.8,84.2,89.3,87.2,71.5,79,83.8,82.2,64,88.9,64,82.2
"Minnesota","9-4",381,287,88.9,80,61.8,76.6,65.1,79.8,79,75.3,79.7,79.7,79.7,75.3
"Mississippi","5-7",391,408,80.3,77.3,77.8,71.6,69.1,74.3,71.3,74.9,64.4,74.3,64.4,74.9
"Mississippi State","6-7",395,413,78,74,56.7,80.5,63.8,74.1,76.5,78.6,62.5,78.6,62.5,78.6
"Missouri","4-8",377,378,77.8,75.7,71.6,86.8,65.2,70,74.9,72.2,57.6,72.9,57.6,72.2
"Navy","9-5",531,434,83.1,84.9,80.2,90,58.4,71.4,86.5,80.5,62.4,81.1,62.4,80.5
"Nebraska","9-4",345,311,85.1,75.3,55.1,73.2,65.8,81.7,88.9,81.7,75.1,88.6,75.1,81.7
"Nevada","5-7",305,348,75.5,80,68.8,85.2,71.2,81.4,60.2,62.4,52.3,62,52.3,62.4
"New Mexico","9-4",477,409,79.3,72.3,62.1,71.7,62.7,73.7,77.8,79,57.7,72.3,57.7,79
"New Mexico State","3-9",298,466,72.5,75,75.4,77.5,59.8,76.6,65.7,72.6,55.1,72.6,55.1,72.6
"North Carolina","8-5",420,324,87.7,83.4,85.9,77.3,71.5,82,83.3,83.3,59.9,82.8,59.9,83.3
"North Carolina State","7-6",351,296,90.1,81.2,77,73.7,65.5,78.6,91.4,75.8,70,89.9,70,75.8
"North Texas","5-8",322,424,73.1,63.8,53,56.4,56.4,76.8,81.7,70.4,65,83.3,65,70.4
"Northern Illinois","5-7",366,364,83.2,80.8,71.6,83.9,73.3,74.8,77.9,77.9,59,80.8,59,77.9
"Northwestern","7-6",338,289,85.2,75.4,65.4,69.3,69.3,75.3,90.3,77.7,67.9,87.7,67.9,77.7
"Notre Dame","4-8",371,334,82.5,76.8,67.8,67.3,67.5,83.6,80.1,74.6,71.2,79.8,71.2,74.6
"Ohio","8-6",368,317,86.8,72.6,69.8,74.8,71.7,61.8,68.4,92,89.7,75.3,89.8,89.8
